url,label,source,last_update,accuracy,transparency,type
brokenworldnews.com,satire,columbia_journalism_review,2021-04,1,2,reliable
callthecops.net,satire,columbia_journalism_review,2021-04,1,2,reliable
chronicle.su,satire,columbia_journalism_review,2021-04,1,2,reliable
dailydiscord.com,satire,columbia_journalism_review,2021-04,1,2,reliable
dailysnark.com,satire,columbia_journalism_review,2021-04,1,2,reliable
dailysquib.co.uk,satire,columbia_journalism_review,2021-04,1,2,reliable
diversitychronicle.wordpress.com,satire,columbia_journalism_review,2021-04,1,2,reliable
duffelblog.com,satire,columbia_journalism_review,2021-04,1,2,reliable
elkoshary.com,satire,columbia_journalism_review,2021-04,1,2,reliable
elmundotoday.com,satire,columbia_journalism_review,2021-04,1,2,reliable
fognews.ru,satire,columbia_journalism_review,2021-04,1,2,reliable
freedumjunkshun.com,satire,columbia_journalism_review,2021-04,1,2,reliable
fridaymash.com,satire,columbia_journalism_review,2021-04,1,2,reliable
halfwaypost.com,satire,columbia_journalism_review,2021-04,1,2,reliable
holyobserver.com,satire,columbia_journalism_review,2021-04,1,2,reliable
islamicanews.com,satire,columbia_journalism_review,2021-04,1,2,reliable
liberalbias.com,satire,columbia_journalism_review,2021-04,1,2,reliable
lushforlife.com,satire,columbia_journalism_review,2021-04,1,2,reliable
newsbreakers.org,satire,columbia_journalism_review,2021-04,1,2,reliable
newstoad.net,satire,columbia_journalism_review,2021-04,1,2,reliable
objectiveministries.org,satire,columbia_journalism_review,2021-04,1,2,reliable
patriotnewsdaily.com,satire,columbia_journalism_review,2021-04,1,2,reliable
politicalgarbagechute.com,satire,columbia_journalism_review,2021-04,1,2,reliable
satirewire.com,satire,columbia_journalism_review,2021-04,1,2,reliable
sensationalisttimes.com,satire,columbia_journalism_review,2021-04,1,2,reliable
sportspickle.com,satire,columbia_journalism_review,2021-04,1,2,reliable
stneotscitizen.com,satire,columbia_journalism_review,2021-04,1,2,reliable
thedailymash.co.uk,satire,columbia_journalism_review,2021-04,1,2,reliable
thedailywtf.com,satire,columbia_journalism_review,2021-04,1,2,reliable
thelapine.ca,satire,columbia_journalism_review,2021-04,1,2,reliable
thepeoplescube.com,satire,columbia_journalism_review,2021-04,1,2,reliable
theskunk.org,satire,columbia_journalism_review,2021-04,1,2,reliable
theunrealtimes.com,satire,columbia_journalism_review,2021-04,1,2,reliable
trumpbetrayed.us,satire,columbia_journalism_review,2021-04,1,2,reliable
unconfirmedsources.com,satire,columbia_journalism_review,2021-04,1,2,reliable
waterfordwhispersnews.com,satire,columbia_journalism_review,2021-04,1,2,reliable
wearethellod.com,satire,columbia_journalism_review,2021-04,1,2,reliable
williambanzai7.blogspot.com,satire,columbia_journalism_review,2021-04,1,2,reliable
wonkie.com,satire,columbia_journalism_review,2021-04,1,2,reliable
amplifyingglass.com,satire,fake_news_watch,2016-01-18,1,2,reliable
duffleblog.com,satire,fake_news_watch,2016-01-18,1,2,reliable
gomerblog.com,satire,fake_news_watch,2016-01-18,1,2,reliable
nahadaily.com,satire,fake_news_watch,2016-01-18,1,2,reliable
rockcitytimes.com,satire,fake_news_watch,2016-01-18,1,2,reliable
thespoof.com,satire,fake_news_watch,2016-01-18,1,2,reliable
alternativelyfacts.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
alternative-science.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
babylonbee.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
bluenewsnetwork.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
breakingburgh.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
bullshitnews.org,satire,media_bias_fact_check,2021-05-17,1,2,reliable
bustatroll.org,satire,media_bias_fact_check,2021-05-17,1,2,reliable
confederacyofdrones.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
cracked.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
dailyworldupdate.us,satire,media_bias_fact_check,2021-05-17,1,2,reliable
eveningharold.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
flake.news,satire,media_bias_fact_check,2021-05-17,1,2,reliable
fmobserver.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
frankmag.ca,satire,media_bias_fact_check,2021-05-17,1,2,reliable
freedomcrossroads.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
genesiustimes.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
gishgallop.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
harddawn.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
imao.us,satire,media_bias_fact_check,2021-05-17,1,2,reliable
infobattle.org,satire,media_bias_fact_check,2021-05-17,1,2,reliable
larknews.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
legorafi.fr,satire,media_bias_fact_check,2021-05-17,1,2,reliable
madhousemagazine.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
mcsweeneys.net,satire,media_bias_fact_check,2021-05-17,1,2,reliable
moronmajority.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
newsthump.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
npcdaily.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
prettycoolsite.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
potatriotsunite.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
realrawnews.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
reductress.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
sanctumnews.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
satirev.org,satire,media_bias_fact_check,2021-05-17,1,2,reliable
schmedium.org,satire,media_bias_fact_check,2021-05-17,1,2,reliable
southendnewsnetwork.net,satire,media_bias_fact_check,2021-05-17,1,2,reliable
stiltonsplace.blogspot.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
stubhillnews.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
suffolkgazette.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
sundaysportonline.co.uk,satire,media_bias_fact_check,2021-05-17,1,2,reliable
thatsprettygoodscience.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
atlbanana.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
thebeaverton.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
chaser.com.au,satire,media_bias_fact_check,2021-05-17,1,2,reliable
thedailymire.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
thehardtimes.net,satire,media_bias_fact_check,2021-05-17,1,2,reliable
themideastbeast.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
theredshtick.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
thesciencepost.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
theshovel.com.au,satire,media_bias_fact_check,2021-05-17,1,2,reliable
thereisnews.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
tittletattle365.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
truthbrary.org,satire,media_bias_fact_check,2021-05-17,1,2,reliable
wokennews.com,satire,media_bias_fact_check,2021-05-17,1,2,reliable
beehivebugle.com,satire,zimdars,2016,1,2,reliable
borowitzreport.com,satire,zimdars,2016,1,2,reliable
bostontribune.com,satire,zimdars,2016,1,2,reliable
crystalair.com,satire,zimdars,2016,1,2,reliable
dailyleak.org,satire,zimdars,2016,1,2,reliable
dandygoat.com,satire,zimdars,2016,1,2,reliable
der-postillon.com,satire,zimdars,2016,1,2,reliable
freepatriot.org,satire,zimdars,2016,1,2,reliable
glossynews.com,satire,zimdars,2016,1,2,reliable
humortimes.com,satire,zimdars,2016,1,2,reliable
ironictimes.com,satire,zimdars,2016,1,2,reliable
johnnyrobish.com,satire,zimdars,2016,1,2,reliable
landoverbaptist.org,satire,zimdars,2016,1,2,reliable
newyorker.com/humor,satire,zimdars,2016,1,2,reliable
religionlo.com,satire,zimdars,2016,1,2,reliable
scrappleface.com,satire,zimdars,2016,1,2,reliable
speld.nl,satire,zimdars,2016,1,2,reliable
surrealscoop.com,satire,zimdars,2016,1,2,reliable
theineptowl.com,satire,zimdars,2016,1,2,reliable
themadisonmisnomer.com,satire,zimdars,2016,1,2,reliable
thestatelyharold.com,satire,zimdars,2016,1,2,reliable
thetimesoftheworld.com,satire,zimdars,2016,1,2,reliable
topekasnews.com,satire,zimdars,2016,1,2,reliable
winkprogress.com,satire,zimdars,2016,1,2,reliable
wundergroundmusic.com,satire,zimdars,2016,1,2,reliable
bbspot.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
betootaadvocate.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
collegehumor.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
dailybuzzlive.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
dailycurrant.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
empirenews.net,fake news,bufalopedia,2020-05-05,1,1,unreliable
empiresports.co,fake news,bufalopedia,2020-05-05,1,1,unreliable
freewoodpost.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
huzlers.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
journaldemourreal.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
lightlybraisedturnip.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
en.mediamass.net,fake news,bufalopedia,2020-05-05,1,1,unreliable
nationalreport.net,fake news,bufalopedia,2020-05-05,1,1,unreliable
newsexaminer.net,fake news,bufalopedia,2020-05-05,1,1,unreliable
newyorker.com/humor/borowitz-report,fake news,bufalopedia,2020-05-05,1,1,unreliable
thenewsnerd.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
thepoke.co.uk,fake news,bufalopedia,2020-05-05,1,1,unreliable
weeklyworldnews.com,fake news,bufalopedia,2020-05-05,1,1,unreliable
12minutos.com,fake news,girnberg,2019-01-28,1,1,unreliable
16wmpo.com,fake news,girnberg,2019-01-28,1,1,unreliable
20minutenews.com,fake news,girnberg,2019-01-28,1,1,unreliable
247newsmedia.com,fake news,girnberg,2019-01-28,1,1,unreliable
24aktuelles.com,fake news,girnberg,2019-01-28,1,1,unreliable
24online.news,fake news,girnberg,2019-01-28,1,1,unreliable
24usainfo.com,fake news,girnberg,2019-01-28,1,1,unreliable
24wpn.com,fake news,girnberg,2019-01-28,1,1,unreliable
abcnews.com.co,fake news,girnberg,2019-01-28,1,1,unreliable
actualite.co,fake news,girnberg,2019-01-28,1,1,unreliable
actualites.co,fake news,girnberg,2019-01-28,1,1,unreliable
adobochronicles.com,fake news,girnberg,2019-01-28,1,1,unreliable
alabamaobserver.com,fake news,girnberg,2019-01-28,1,1,unreliable
aldipest.com,fake news,girnberg,2019-01-28,1,1,unreliable
alertchild.com,fake news,girnberg,2019-01-28,1,1,unreliable
alynews.com,fake news,girnberg,2019-01-28,1,1,unreliable
americafans.com,fake news,girnberg,2019-01-28,1,1,unreliable
americanflare.com,fake news,girnberg,2019-01-28,1,1,unreliable
americanflavor.news,fake news,girnberg,2019-01-28,1,1,unreliable
americanjournalreview.com,fake news,girnberg,2019-01-28,1,1,unreliable
americanpeoplenetwork.com,fake news,girnberg,2019-01-28,1,1,unreliable
americanpoliticnews.co,fake news,girnberg,2019-01-28,1,1,unreliable
americanpresident.co,fake news,girnberg,2019-01-28,1,1,unreliable
americanprides.com,fake news,girnberg,2019-01-28,1,1,unreliable
americasnewest.com,fake news,girnberg,2019-01-28,1,1,unreliable
amposts.com,fake news,girnberg,2019-01-28,1,1,unreliable
anews-24.com,fake news,girnberg,2019-01-28,1,1,unreliable
anews24.org,fake news,girnberg,2019-01-28,1,1,unreliable
angrypatriotmovement.com,fake news,girnberg,2019-01-28,1,1,unreliable
anonjekloy.tk,fake news,girnberg,2019-01-28,1,1,unreliable
areyouasleep.com,fake news,girnberg,2019-01-28,1,1,unreliable
asamericanasapplepie.org,fake news,girnberg,2019-01-28,1,1,unreliable
associatedmediacoverage.com,fake news,girnberg,2019-01-28,1,1,unreliable
aurora-news.us,fake news,girnberg,2019-01-28,1,1,unreliable
badcriminals.com,fake news,girnberg,2019-01-28,1,1,unreliable
baldwinpost.com,fake news,girnberg,2019-01-28,1,1,unreliable
baltimoregazette.com,fake news,girnberg,2019-01-28,1,1,unreliable
battypost.com,fake news,girnberg,2019-01-28,1,1,unreliable
bb4sp.com,fake news,girnberg,2019-01-28,1,1,unreliable
beforeitsnews.com,fake news,girnberg,2019-01-28,1,1,unreliable
belgique.actualites.co,fake news,girnberg,2019-01-28,1,1,unreliable
bients.com,fake news,girnberg,2019-01-28,1,1,unreliable
bigbluevision.org,fake news,girnberg,2019-01-28,1,1,unreliable
bignuggetnews.com,fake news,girnberg,2019-01-28,1,1,unreliable
bizstandardnews.com,fake news,girnberg,2019-01-28,1,1,unreliable
bluevision.news,fake news,girnberg,2019-01-28,1,1,unreliable
bluevisionpost.com,fake news,girnberg,2019-01-28,1,1,unreliable
borderherald.com,fake news,girnberg,2019-01-28,1,1,unreliable
bostonleader.com,fake news,girnberg,2019-01-28,1,1,unreliable
breakingtop.world,fake news,girnberg,2019-01-28,1,1,unreliable
burrardstreetjournal.com,fake news,girnberg,2019-01-28,1,1,unreliable
butthatsnoneofmybusiness.com,fake news,girnberg,2019-01-28,1,1,unreliable
buzzfeedusa.com,fake news,girnberg,2019-01-28,1,1,unreliable
cartelpress.com,fake news,girnberg,2019-01-28,1,1,unreliable
cartelreport.com,fake news,girnberg,2019-01-28,1,1,unreliable
celebtricity.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel16news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel17news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel18news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel22news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel23news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel28news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel34news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel45news.com,fake news,girnberg,2019-01-28,1,1,unreliable
channel5000.com,fake news,girnberg,2019-01-28,1,1,unreliable
choiceandtruth.com,fake news,girnberg,2019-01-28,1,1,unreliable
christiantimesnewspaper.com,fake news,girnberg,2019-01-28,1,1,unreliable
christiantoday.info,fake news,girnberg,2019-01-28,1,1,unreliable
chuckcallesto.blogspot.com,fake news,girnberg,2019-01-28,1,1,unreliable
civictribune.com,fake news,girnberg,2019-01-28,1,1,unreliable
clancyreport.com,fake news,girnberg,2019-01-28,1,1,unreliable
clashdaily.com,fake news,girnberg,2019-01-28,1,1,unreliable
clear-politics.com,fake news,girnberg,2019-01-28,1,1,unreliable
cnn.com.de,fake news,girnberg,2019-01-28,1,1,unreliable
cnnews3.com,fake news,girnberg,2019-01-28,1,1,unreliable
consciouslyenlightened.com,fake news,girnberg,2019-01-28,1,1,unreliable
conservativearmy88.com,fake news,girnberg,2019-01-28,1,1,unreliable
conservativedailypost.com,fake news,girnberg,2019-01-28,1,1,unreliable
conservativeflashnews.com,fake news,girnberg,2019-01-28,1,1,unreliable
conservativeinfocorner.com,fake news,girnberg,2019-01-28,1,1,unreliable
conservativeinsider.co,fake news,girnberg,2019-01-28,1,1,unreliable
conservativespirit.com,fake news,girnberg,2019-01-28,1,1,unreliable
conservativestudio.com,fake news,girnberg,2019-01-28,1,1,unreliable
consnation.com,fake news,girnberg,2019-01-28,1,1,unreliable
cooltobeconservative.com,fake news,girnberg,2019-01-28,1,1,unreliable
daily-sun.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailyfinesser.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailyinfobox.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailyinsidernews.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailynews10.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailynews11.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailynews3.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailynews33.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailynews5.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailynewsposts.info,fake news,girnberg,2019-01-28,1,1,unreliable
dailyoccupation.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailypresser.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailysurge.com,fake news,girnberg,2019-01-28,1,1,unreliable
dailyusaupdate.com,fake news,girnberg,2019-01-28,1,1,unreliable
damnleaks.com,fake news,girnberg,2019-01-28,1,1,unreliable
democraticmoms.com,fake news,girnberg,2019-01-28,1,1,unreliable
denverguardian.com,fake news,girnberg,2019-01-28,1,1,unreliable
denverinquirer.com,fake news,girnberg,2019-01-28,1,1,unreliable
departed.co,fake news,girnberg,2019-01-28,1,1,unreliable
departedmedia.com,fake news,girnberg,2019-01-28,1,1,unreliable
dineal.com,fake news,girnberg,2019-01-28,1,1,unreliable
disclose.tv,fake news,girnberg,2019-01-28,1,1,unreliable
diyhours.net,fake news,girnberg,2019-01-28,1,1,unreliable
donaldtrumpnews.co,fake news,girnberg,2019-01-28,1,1,unreliable
donaldtrumppotus45.com,fake news,girnberg,2019-01-28,1,1,unreliable
drugsofficial.com,fake news,girnberg,2019-01-28,1,1,unreliable
embols.com,fake news,girnberg,2019-01-28,1,1,unreliable
empireherald.com,fake news,girnberg,2019-01-28,1,1,unreliable
en-volve.com,fake news,girnberg,2019-01-28,1,1,unreliable
endingthefed.com,fake news,girnberg,2019-01-28,1,1,unreliable
enhlive.com,fake news,girnberg,2019-01-28,1,1,unreliable
everydaybreakingnews.com,fake news,girnberg,2019-01-28,1,1,unreliable
everynewshere.com,fake news,girnberg,2019-01-28,1,1,unreliable
famousviralstories.com,fake news,girnberg,2019-01-28,1,1,unreliable
fanzinger.com,fake news,girnberg,2019-01-28,1,1,unreliable
federalistnation.com,fake news,girnberg,2019-01-28,1,1,unreliable
federalisttribune.com,fake news,girnberg,2019-01-28,1,1,unreliable
