url,label,source,last_update,harm_score,type,active
jedanews.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
lacrunadellago.net,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
lonesto.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
mittdolcino.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
nobufale.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
numero6.org,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
oltrelebarricate.wordpress.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
orazero.org,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
politikstube.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
raffaelepalermonews.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
rassegnastampa.eu,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
rassegneitalia.info,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
ribelli.tv,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
silenziefalsita.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
ticinolive.ch,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
trend-online.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
tuttiicriminidegliimmigrati.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
ingannati.it,pseudoscience blogs,butac,2021-05-18,9,disinformation,10
thedayafter2012.blogspot.com,pseudoscience blogs,butac,2021-05-18,9,disinformation,10
assis.it,pseudomedicine,butac,2021-05-18,9,disinformation,10
laleva.org,pseudomedicine,butac,2021-05-18,9,disinformation,10
attiviamoci.org,conspiracy,butac,2021-05-18,9,disinformation,10
conoscenzealconfine.it,conspiracy,butac,2021-05-18,9,disinformation,10
contro.tv,conspiracy,butac,2021-05-18,9,disinformation,10
ecplanet.org,conspiracy,butac,2021-05-18,9,disinformation,10
hackthematrix.it,conspiracy,butac,2021-05-18,9,disinformation,10
libreidee.org,conspiracy,butac,2021-05-18,9,disinformation,10
liberamenteservo.com,conspiracy,butac,2021-05-18,9,disinformation,10
luogocomune.net,conspiracy,butac,2021-05-18,9,disinformation,10
nibiru2012.it,conspiracy,butac,2021-05-18,9,disinformation,10
pandora.tv,conspiracy,butac,2021-05-18,9,disinformation,10
terrarealtime.blogspot.com,conspiracy,butac,2021-05-18,9,disinformation,10
toba60.com,conspiracy,butac,2021-05-18,9,disinformation,10
ilsapereepotere2.blogspot.com,conspiracy blogs,butac,2021-05-18,9,disinformation,10
laveritadininconaco.altervista.org,conspiracy blogs,butac,2021-05-18,9,disinformation,10
pianetax.wordpress.com,conspiracy blogs,butac,2021-05-18,9,disinformation,10
raggioindaco.wordpress.com,conspiracy blogs,butac,2021-05-18,9,disinformation,10
sulatestagiannilannes.blogspot.com,conspiracy blogs,butac,2021-05-18,9,disinformation,10
act.tv,left bias,buzzfeed,2017-08-08,7,disinformation,10
alternet.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
americablog.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
antiwar.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
attn.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
beingliberal.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
billmoyers.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
blackagendareport.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
c4ss.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
commondreams.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
consortiumnews.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
countercurrents.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
counterinformation.wordpress.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
counterpunch.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
crooksandliars.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
dailykos.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
deadstate.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
democracyjournal.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
demos.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
dissentmagazine.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
egbertowillies.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
everydayfeminism.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
fair.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
feministing.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
inthesetimes.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
itsgoingdown.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
jacobinmag.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
joemygod.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
juancole.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
latinorebels.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
liberalamerica.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
lidblog.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
mediamatters.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
mintpressnews.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
moonofalabama.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
motherjones.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
msnbc.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
nationalmemo.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
nationofchange.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
newpol.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
news.groopspeak.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
newscorpse.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
newshounds.us,left bias,buzzfeed,2017-08-08,7,disinformation,10
occupy.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
oliverwillis.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
opednews.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
palmerreport.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
politicaldig.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
politicalwire.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
politicususa.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
progressive.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
prospect.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
rawstory.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
reclaimdemocracy.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
revcom.us,left bias,buzzfeed,2017-08-08,7,disinformation,10
rewire.news,left bias,buzzfeed,2017-08-08,7,disinformation,10
rightwingwatch.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
salon.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
samuel-warde.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
secondnexus.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
shadowproof.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
shareblue.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
smirkingchimp.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
talkingpointsmemo.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
thedailybanter.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
thenation.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
thenewcivilrightsmovement.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
therealnews.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
thinkprogress.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
tomdispatch.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
towleroad.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
trofire.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
truthdig.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
upworthy.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
warisacrime.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
washingtonmonthly.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
wonkette.com,left bias,buzzfeed,2017-08-08,7,disinformation,10
yesmagazine.org,left bias,buzzfeed,2017-08-08,7,disinformation,10
aclj.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
aei.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
afr.net,right bias,buzzfeed,2017-08-08,7,disinformation,10
aim.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
aina.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
americanlens.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
americanupdate.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
amgreatness.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
anncoulter.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
bearingarms.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
bizpacreview.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
bookwormroom.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
citizenfreepress.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
comicallyincorrect.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
commentarymagazine.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
conservativehq.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
conservativeintel.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
conservativereview.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
conservativerevival.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
conservativetribune.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
controversialtimes.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
counter-currents.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
dailycaller.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
dailyherald.news,right bias,buzzfeed,2017-08-08,7,disinformation,10
dailyinfo.co,right bias,buzzfeed,2017-08-08,7,disinformation,10
dailysignal.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
deneenborelli.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
dennismichaellynch.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
drudge.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
drudgereport.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
foreignpolicyjournal.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
foxnews.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
freebeacon.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
fury.news,right bias,buzzfeed,2017-08-08,7,disinformation,10
goppresidential.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
heatst.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
hotair.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
hudson.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
hughhewitt.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
humanevents.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
ijr.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
intrepidreport.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
iotwreport.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
jamieglazov.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
lauraingraham.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
legalinsurrection.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
libertyunyielding.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
lifezette.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
marklevinshow.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
menrec.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
mrc.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
mrctv.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
nationalreview.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
newcriterion.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
newsbusters.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
nysun.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
oann.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
offthewire.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
patriot.tv,right bias,buzzfeed,2017-08-08,7,disinformation,10
patriotpost.us,right bias,buzzfeed,2017-08-08,7,disinformation,10
patriotretort.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
politichicks.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
powerlineblog.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
rare.us,right bias,buzzfeed,2017-08-08,7,disinformation,10
realclearpolitics.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
rightedition.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
shark-tank.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
skepchick.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
sovereignman.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
spectator.org,right bias,buzzfeed,2017-08-08,7,disinformation,10
stacyontheright.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
stridentconservative.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
tammybruce.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
theamericanconservative.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
thecollegefix.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
thegoldwater.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
thenewamerican.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
therealside.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
therepublicannews.net,right bias,buzzfeed,2017-08-08,7,disinformation,10
triadconservative.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
truedaily.news,right bias,buzzfeed,2017-08-08,7,disinformation,10
twitchy.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
unionleader.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
usadailyreports.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
washingtonexaminer.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
weaselzippers.us,right bias,buzzfeed,2017-08-08,7,disinformation,10
westernjournalism.com,right bias,buzzfeed,2017-08-08,7,disinformation,10
12minutos.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
21stcenturywire.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
abovetopsecret.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
activistpost.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
aheadoftheherd.com,bias,columbia_journalism_review,2021-04,7,disinformation,10
allnewspipeline.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
americanfreepress.net,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
americasfreedomfighters.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
attitude.co.uk,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
awarenessact.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
beforeitsnews.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
blackgenocide.org,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
breakpoint.org,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
canadafreepress.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
centerforsecuritypolicy.org,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
channel34news.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
channel45news.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
clashdaily.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
coed.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
concisepolitics.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
conservativeangle.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
conservativedailypost.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
conservativefiringline.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
corbettreport.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
counterpsyops.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
creativitymovement.net,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
cryptogon.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
dailyheadlines.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
dailyheadlines.net,fake,columbia_journalism_review,2021-04,8,disinformation,10
dailysurge.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
dailytelegraph.com.au,bias,columbia_journalism_review,2021-04,7,disinformation,10
darkmoon.me,bias,columbia_journalism_review,2021-04,7,disinformation,10
davejanda.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
davidwolfe.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
dcclothesline.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
defenddemocracy.press,bias,columbia_journalism_review,2021-04,7,disinformation,10
democraticunderground.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
disclose.tv,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
dollarvigilante.com,bias,columbia_journalism_review,2021-04,7,disinformation,10
dont-tread-on.me,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
drrichswier.com,bias,columbia_journalism_review,2021-04,7,disinformation,10
educate-yourself.org,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
endoftheamericandream.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
endtime.com,bias,columbia_journalism_review,2021-04,7,disinformation,10
eutimes.net,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
farmwars.info,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
financialsurvivalnetwork.com,bias,columbia_journalism_review,2021-04,7,disinformation,10
freedomoutpost.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
freedomsphoenix.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
freerepublic.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
fromthetrenchesworldreport.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
gaia.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
gatesofvienna.net,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
gellerreport.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
geoengineeringwatch.org,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
globalresearch.ca,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
godlikeproductions.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
greanvillepost.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
hangthebankers.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
henrymakow.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
humansarefree.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
independentminute.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
infiniteunknown.net,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
informationclearinghouse.info,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
infowars.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
intellihub.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
investmentresearchdynamics.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
jesus-is-savior.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
jihadwatch.org,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
jimstone.is,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
journal-neo.org,bias,columbia_journalism_review,2021-04,7,disinformation,10
katehon.com,bias,columbia_journalism_review,2021-04,7,disinformation,10
libertyblitzkrieg.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
liveleak.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
mediamass.net,fake,columbia_journalism_review,2021-04,8,disinformation,10
nation.com.pk,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
nationalufocenter.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
naturalblaze.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
neonnettle.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
newspunch.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
newstarget.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
newswithviews.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
nomorefakenews.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
notizzia.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
nowtheendbegins.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
offgridsurvival.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
oftwominds.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
patriotrising.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
paulcraigroberts.org,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
postcard.news,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
postillon.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
pravda.ru,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
prepperwebsite.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
prisonplanet.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
realfarmacy.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
rense.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
returnofkings.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
rightwingtribune.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
rumormillnews.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
silverdoctors.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
skeptiko.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
stillnessinthestorm.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
teaparty.org,fake,columbia_journalism_review,2021-04,8,disinformation,10
theamericanmirror.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
thecommonsenseshow.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
theeconomiccollapseblog.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
theeventchronicle.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
thefreethoughtproject.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
thegatewaypundit.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
theinformedamerican.net,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
thelibertybeacon.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
themindunleashed.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
thenationalmarijuananews.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
thephaser.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
thepoliticalinsider.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
therightscoop.com,fake,columbia_journalism_review,2021-04,8,disinformation,10
therooster.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
thetruthseeker.co.uk,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
threepercenternation.com,conspiracy,columbia_journalism_review,2021-04,9,disinformation,10
tomwoods.com,unreliable,columbia_journalism_review,2021-04,7,disinformation,10
